profile,x,time,survival,hazard,cumulative_hazard
0,-0.75,0.25,0.988397887829469,0.177214043874525,0.0116699418292236
0,-0.75,0.5,0.890971962582163,0.652002155860087,0.115442319366522
0,-0.75,0.75,0.721436612846361,1.00894384273643,0.326510759310458
0,-0.75,1,0.544489606344159,1.22283663783079,0.607906425231789
0,-0.75,1.5,0.279183359482316,1.41244337174495,1.27588651057815
0,-0.75,2,0.135643513749139,1.46139325641729,1.99772505709754
0,-0.75,3,0.0317134304987515,1.43060694327665,3.45101501278435
1,0,0.25,0.997180056363606,0.0483195368335419,0.00282392716810247
1,0,0.5,0.96142875788533,0.260479448953823,0.039334811461502
1,0,0.75,0.874350337181306,0.492683348898609,0.134274140186007
1,0,1,0.754939039986808,0.672303631107698,0.28111827473223
1,0,1.5,0.508152923053429,0.884250266516623,0.676972847071251
1,0,2,0.317819118933102,0.979867189105131,1.14627286642129
1,0,3,0.115249340655444,1.02994044004116,2.16065731811573
2,0.75,0.25,0.999419760953856,0.0109676979165434,0.000580407449965594
2,0.75,0.5,0.988801944841249,0.085800539372581,0.0112612254104502
2,0.75,0.75,0.954116368282658,0.202551524042963,0.0469696356407973
2,0.75,1,0.893669111136513,0.318877831901022,0.11241969409183
2,0.75,1.5,0.726528639490839,0.495898381763498,0.319477375563881
2,0.75,2,0.550722304333117,0.602719127369083,0.596524581748663
2,0.75,3,0.284751900502147,0.698267342293436,1.2561370023939
