model,observation,uniform,quantile_residual
PO,0,0.351190476190476,0.0424797953684791
PO,1,0.696428571428571,-0.634106839008526
PO,2,0.0416666666666667,-0.298326506945372
PO,3,0.386904761904762,-1.0883714899809
PO,4,0.732142857142857,0.29528244349257
PO,5,0.0773809523809524,-1.94139952628575
PO,6,0.422619047619048,-0.0445213503070601
PO,7,0.767857142857143,-0.692004969786696
PO,8,0.113095238095238,-0.384327263609151
PO,9,0.458333333333333,-1.09037675185851
PO,10,0.803571428571429,0.951933261709601
PO,11,0.148809523809524,-1.72461412556942
PO,12,0.494047619047619,0.658815200237854
PO,13,0.839285714285714,-0.751566651074574
PO,14,0.18452380952381,0.404676369562459
PO,15,0.529761904761905,-1.09949900094761
PO,16,0.875,0.86720286387991
PO,17,0.220238095238095,-1.60821868192916
PO,18,0.56547619047619,0.583068384188659
PO,19,0.910714285714286,-0.793866029845565
PO,20,0.255952380952381,1.0261011048907
PO,21,0.601190476190476,-0.182156854534111
PO,22,0.946428571428571,1.45234641305605
PO,23,0.291666666666667,-0.482316097345586
PO,24,0.636904761904762,1.184210462576
PO,25,0.982142857142857,0.0836157954530579
PO,26,0.327380952380952,0.972363231656658
PO,27,0.672619047619048,-0.195084397830978
PO,28,0.0178571428571429,0.788984815749489
PO,29,0.363095238095238,-0.483240671922604
PO,30,0.708333333333333,1.72072803571235
PO,31,0.0535714285714286,-0.811622890993242
PO,32,0.398809523809524,1.51832537611371
PO,33,0.744047619047619,-0.210139940209397
PO,34,0.0892857142857143,1.34809782218619
PO,35,0.43452380952381,-0.494626149971978
PO,36,0.779761904761905,2.18385968825347
PO,37,0.125,-0.818714760116543
PO,38,0.470238095238095,2.46792572297148
PO,39,0.81547619047619,-0.256616823539471
PO,40,0.160714285714286,3.23188900537253
PO,41,0.505952380952381,0.178062532367066
PO,42,0.851190476190476,-1.16051459860661
PO,43,0.196428571428571,-0.0847699288072063
PO,44,0.541666666666667,-1.45996802315433
PO,45,0.886904761904762,0.331006544560029
PO,46,0.232142857142857,-1.90808925665609
PO,47,0.577380952380952,0.0500922921408722
PO,48,0.922619047619048,-1.27640784732563
PO,49,0.267857142857143,-0.229760960163953
PO,50,0.613095238095238,-1.55767132586157
PO,51,0.958333333333333,0.743840389191839
PO,52,0.303571428571429,-1.94366463425411
PO,53,0.648809523809524,0.457197459264333
PO,54,0.994047619047619,-0.623441421976595
PO,55,0.339285714285714,0.189093895060176
PO,56,0.68452380952381,-0.898260999091108
PO,57,0.0297619047619048,-0.0754861308669687
PO,58,0.375,-1.20371556289523
PO,59,0.720238095238095,0.741438442331307
PO,60,0.0654761904761905,-1.59049260159586
PO,61,0.410714285714286,0.484029203203933
PO,62,0.755952380952381,-1.09915039926294
PO,63,0.101190476190476,0.241715828359354
PO,64,0.446428571428571,-1.3770772407899
PO,65,0.791666666666667,0.967198242146023
PO,66,0.136904761904762,-1.01659665929701
PO,67,0.482142857142857,0.729078071391257
PO,68,0.827380952380952,-0.660200043990957
PO,69,0.172619047619048,0.969669887351394
PO,70,0.517857142857143,-0.899237248089716
PO,71,0.863095238095238,1.19239943304869
PO,72,0.208333333333333,-1.15961584041841
PO,73,0.553571428571429,1.39269072277515
PO,74,0.898809523809524,-0.812452259275524
PO,75,0.244047619047619,1.61428268014429
PO,76,0.589285714285714,-1.02101075904084
PO,77,0.93452380952381,2.20803361543872
PO,78,0.279761904761905,-0.692418922892853
PO,79,0.625,2.37568288681219
PO,80,0.970238095238095,-0.382136127717813
PO,81,0.31547619047619,2.91522419818477
PO,82,0.660714285714286,-0.571384965577162
PO,83,0.00595238095238095,-3.83516769636039
NBI,0,0.351190476190476,0.12283362796371
NBI,1,0.696428571428571,-0.548457355661631
NBI,2,0.0416666666666667,-0.193421101932273
NBI,3,0.386904761904762,-1.01730748516072
NBI,4,0.732142857142857,0.361368591254684
NBI,5,0.0773809523809524,-1.8889152861106
NBI,6,0.422619047619048,0.0404632990363716
NBI,7,0.767857142857143,-0.58648516869023
NBI,8,0.113095238095238,-0.270923579314234
NBI,9,0.458333333333333,-0.998327531483174
NBI,10,0.803571428571429,0.959146171260506
NBI,11,0.148809523809524,-1.64940981556064
NBI,12,0.494047619047619,0.69420981178274
NBI,13,0.839285714285714,-0.615327074788304
NBI,14,0.18452380952381,0.466568944316785
NBI,15,0.529761904761905,-0.975635818729963
NBI,16,0.875,0.864608808223887
NBI,17,0.220238095238095,-1.50057015115006
NBI,18,0.56547619047619,0.617618309151613
NBI,19,0.910714285714286,-0.610141493737849
NBI,20,0.255952380952381,0.982626252422236
NBI,21,0.601190476190476,-0.053351932691011
NBI,22,0.946428571428571,1.30022993682097
NBI,23,0.291666666666667,-0.305106720398076
NBI,24,0.636904761904762,1.08525408865541
NBI,25,0.982142857142857,0.207446423416312
NBI,26,0.327380952380952,0.909554760300269
NBI,27,0.672619047619048,-0.0312811399641238
NBI,28,0.0178571428571429,0.757889795154199
NBI,29,0.363095238095238,-0.260601421181746
NBI,30,0.708333333333333,1.41070148966678
NBI,31,0.0535714285714286,-0.494124961134712
NBI,32,0.398809523809524,1.25097679091516
NBI,33,0.744047619047619,-0.00358947711126073
NBI,34,0.0892857142857143,1.11182413665716
NBI,35,0.43452380952381,-0.2235011925792
NBI,36,0.779761904761905,1.61998855367563
NBI,37,0.125,-0.450684777122116
NBI,38,0.470238095238095,1.75898596551942
NBI,39,0.81547619047619,-0.00641126487297892
NBI,40,0.160714285714286,2.13740748142777
NBI,41,0.505952380952381,0.31327469092165
NBI,42,0.851190476190476,-0.723201933348389
NBI,43,0.196428571428571,0.13251515123973
NBI,44,0.541666666666667,-1.06804722580403
